Number;neighbourhood_group;neighbourhood;latitude;longitude
45;Sants-Montjuic;Hostafrancs;41.3729313324454;2.1445647041990163
45;Sants-Montjuic;Hostafrancs;41.37484979126267;2.1464925307945264
45;Sants-Montjuic;Hostafrancs;41.37529835696777;2.1466706800932935
45;Sants-Montjuic;Hostafrancs;41.374075474007896;2.1416576991120855
45;Sants-Montjuic;Hostafrancs;41.375436010396;2.145793968231933
45;Sants-Montjuic;Hostafrancs;41.372358578160934;2.1444516204259685
45;Sants-Montjuic;Hostafrancs;41.3750023063663;2.1444056645880476
45;Sants-Montjuic;Hostafrancs;41.37588052979919;2.1472977812354523
45;Sants-Montjuic;Hostafrancs;41.374788731690025;2.1447198388198454
45;Sants-Montjuic;Hostafrancs;41.37307735518928;2.1418108550314083
45;Sants-Montjuic;Hostafrancs;41.37625722301231;2.1407229665971754
45;Sants-Montjuic;Hostafrancs;41.37656966770084;2.142333516936877
45;Sants-Montjuic;Hostafrancs;41.378021089988685;2.1430887468934205
45;Sants-Montjuic;Hostafrancs;41.371869589764614;2.1431685712209148
45;Sants-Montjuic;Hostafrancs;41.374237188675984;2.145174580179471
45;Sants-Montjuic;Hostafrancs;41.37644422685162;2.145801530870607
45;Sants-Montjuic;Hostafrancs;41.372608708011356;2.143909046936109
45;Sants-Montjuic;Hostafrancs;41.374607722905324;2.144786027260239
45;Sants-Montjuic;Hostafrancs;41.37335937476262;2.1467328677224504
45;Sants-Montjuic;Hostafrancs;41.37846970335765;2.143144105415585
45;Sants-Montjuic;Hostafrancs;41.37543253162896;2.146632770700735
45;Sants-Montjuic;Hostafrancs;41.376484741159324;2.146002031441681
45;Sants-Montjuic;Hostafrancs;41.37499272444625;2.1426391664820064
45;Sants-Montjuic;Hostafrancs;41.37338776957286;2.143092636420089
45;Sants-Montjuic;Hostafrancs;41.37496356881556;2.1462307933341096
45;Sants-Montjuic;Hostafrancs;41.3756427707795;2.144243698338041
45;Sants-Montjuic;Hostafrancs;41.371792679138274;2.1426871532402414
45;Sants-Montjuic;Hostafrancs;41.3732507405419;2.1461459139627324
45;Sants-Montjuic;Hostafrancs;41.37499945032613;2.1417158994567678
45;Sants-Montjuic;Hostafrancs;41.37660896065247;2.14511132012531
45;Sants-Montjuic;Hostafrancs;41.37205648702912;2.143161154343487
45;Sants-Montjuic;Hostafrancs;41.37206471308621;2.1448998454566657
45;Sants-Montjuic;Hostafrancs;41.372733708904576;2.1446796454826997
45;Sants-Montjuic;Hostafrancs;41.37645261071443;2.1456685431871914
45;Sants-Montjuic;Hostafrancs;41.376758382877796;2.1431418511388762
45;Sants-Montjuic;Hostafrancs;41.37468000452416;2.1437171687284913
45;Sants-Montjuic;Hostafrancs;41.37443654204969;2.144278390637144
45;Sants-Montjuic;Hostafrancs;41.37311880985832;2.146128968069989
45;Sants-Montjuic;Hostafrancs;41.37270339545561;2.145171350741425
45;Sants-Montjuic;Hostafrancs;41.370920319540176;2.1428106145543286
45;Sants-Montjuic;Hostafrancs;41.37762408385899;2.1420249915194165
45;Sants-Montjuic;Hostafrancs;41.374184582755255;2.141605791026753
45;Sants-Montjuic;Hostafrancs;41.376924534979956;2.1420469110372045
45;Sants-Montjuic;Hostafrancs;41.37533672458263;2.143824406114353
45;Sants-Montjuic;Hostafrancs;41.37610479292453;2.1425237917177307
45;Sants-Montjuic;Hostafrancs;41.3753899136707;2.146609637185807
45;Sants-Montjuic;Hostafrancs;41.375410278805134;2.14309716202326
45;Sants-Montjuic;Hostafrancs;41.37580162449206;2.1438611580775686
45;Sants-Montjuic;Hostafrancs;41.37159359578844;2.1442370850267967
45;Sants-Montjuic;Hostafrancs;41.37490200825335;2.145410626182063
45;Sants-Montjuic;Hostafrancs;41.372207661225715;2.1449029765496976
45;Sants-Montjuic;Hostafrancs;41.377332256028694;2.1453849462771624
45;Sants-Montjuic;Hostafrancs;41.37615196230611;2.145993200099339
45;Sants-Montjuic;Hostafrancs;41.376051099313045;2.147161019484125
45;Sants-Montjuic;Hostafrancs;41.37650150156256;2.1438476004630114
45;Sants-Montjuic;Hostafrancs;41.37861350252918;2.1426352857848476
45;Sants-Montjuic;Hostafrancs;41.37552399031668;2.14162436369479
45;Sants-Montjuic;Hostafrancs;41.37475700648386;2.1431850070348597
45;Sants-Montjuic;Hostafrancs;41.377475790118794;2.143411814181551
45;Sants-Montjuic;Hostafrancs;41.37773405494513;2.1454219406996478
45;Sants-Montjuic;Hostafrancs;41.37564914265041;2.1470792434680694
